[   0 ,    0  97   3] 时隙: 0-------------------------------------------------------------------------------
[   1 ,   12 595 840] high freq  1012500   5
[   1 ,   15  95 928] high freq  1015000   6
[   1 ,   17 592 865] high freq  1017500   7
[   1 ,   20  92 200] high freq  1020000   8
[   1 ,   20 330 153] [PERIODIC] Node  3 向网络层上报 本地链路状态信息 
[   1 ,   20 388 755] 时隙: 1-------------------------------------------------------------------------------
[   1 ,   20 548  35] NODE  3 收到网管节点飞行状态信息
[   1 ,   20 672 868] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   1 ,   20 693 298] [PERIODIC] Node  3 向网络层上报 其他节点飞行状态信息 
[   1 ,   22 603 713] high freq  1022500   9
[   1 ,   25  94  95] high freq  1025000   10
[   1 ,   27 594  40] high freq  1027500   11
[   1 ,   30  92 955] high freq  1030000   12
[   1 ,   32 597 225] high freq  1032500   13
[   1 ,   35  93 340] high freq  1035000   14
[   1 ,   37 592 745] high freq  1037500   15
[   1 ,   40  92 488] high freq  1040000   16
[   1 ,   40 132 588] 时隙: 2-------------------------------------------------------------------------------
[   1 ,   40 315 270] NODE  3 收到普通节点飞行状态信息
[   1 ,   40 381 685] 最佳天线编号: 1, 俯仰角: nan, 方位角: nan
[   1 ,   42 602 378] high freq  1042500   17
[   1 ,   45  95 340] high freq  1045000   18
[   1 ,   47 593 540] high freq  1047500   19
[   1 ,   50  93 243] high freq  1050000   20
[   1 ,   52 596 640] high freq  1052500   21
[   1 ,   55  93 185] high freq  1055000   22
[   1 ,   57 593 168] high freq  1057500   23
[   1 ,   60  92  98] high freq  1060000   24
[   1 ,   60 116 683] 时隙: 3-------------------------------------------------------------------------------
[   1 ,   62 598 823] high freq  1062500   25
[   1 ,   65  92 840] high freq  1065000   26
[   1 ,   67 593 363] high freq  1067500   27
[   1 ,   70  92 320] high freq  1070000   28
[   1 ,   72 598 175] high freq  1072500   29
[   1 ,   75  93 730] high freq  1075000   30
[   1 ,   77 593 215] high freq  1077500   31
[   1 ,   80  92 185] high freq  1080000   32
[   1 ,   80 116 145] 时隙: 4-------------------------------------------------------------------------------
[   1 ,   80 245  20] NODE  3 发送飞行状态信息
[   1 ,   82 601  70] high freq  1082500   33
[   1 ,   85  93 748] high freq  1085000   34
[   1 ,   87 593 358] high freq  1087500   35
[   1 ,   90  92 860] high freq  1090000   36
[   1 ,   92 595 340] high freq  1092500   37
[   1 ,   95  93 123] high freq  1095000   38
[   1 ,   97 593 100] high freq  1097500   39
[   1 ,  100  92 738] high freq  1100000   40
[   1 ,  100 117 378] 时隙: 5-------------------------------------------------------------------------------
[   1 ,  102 598 588] high freq  1102500   41
[   1 ,  105  93 383] high freq  1105000   42
[   1 ,  107 593 285] high freq  1107500   43
[   1 ,  110  93  60] high freq  1110000   44
[   1 ,  112 596  33] high freq  1112500   45
[   1 ,  115  93 100] high freq  1115000   46
[   1 ,  117 593 288] high freq  1117500   47
[   1 ,  120  92 903] high freq  1120000   48
[   1 ,  120 116 855] 时隙: 6-------------------------------------------------------------------------------
[   1 ,  122 599 925] high freq  1122500   49
[   1 ,  125  93  88] high freq  1125000   50
[   1 ,  127 592 963] high freq  1127500   51
[   1 ,  130  92 873] high freq  1130000   52
[   1 ,  132 595 645] high freq  1132500   53
[   1 ,  135  93 133] high freq  1135000   54
[   1 ,  137 592 743] high freq  1137500   55
[   1 ,  140  92 313] high freq  1140000   56
[   1 ,  140 118 768] 时隙: 7-------------------------------------------------------------------------------
[   1 ,  142 598 345] high freq  1142500   57
[   1 ,  145  93 988] high freq  1145000   58
[   1 ,  147 592 330] high freq  1147500   59
[   1 ,  150  92 525] high freq  1150000   60
[   1 ,  152 595 598] high freq  1152500   61
[   1 ,  155  93 208] high freq  1155000   62
[   1 ,  157 592 978] high freq  1157500   63
[   1 ,  160  92 763] high freq  1160000   64
[   1 ,  160 116 928] 时隙: 8-------------------------------------------------------------------------------
[   1 ,  162 597 108] high freq  1162500   65
[   1 ,  165  92 690] high freq  1165000   66
[   1 ,  167 592 618] high freq  1167500   67
[   1 ,  170  92 578] high freq  1170000   68
[   1 ,  172 597 545] high freq  1172500   69
[   1 ,  175  93  30] high freq  1175000   70
[   1 ,  177 592 388] high freq  1177500   71
[   1 ,  180  92 660] high freq  1180000   72
[   1 ,  180 115 718] 时隙: 9-------------------------------------------------------------------------------
[   1 ,  182 598  30] high freq  1182500   73
[   1 ,  185  93 628] high freq  1185000   74
[   1 ,  187 593  18] high freq  1187500   75
[   1 ,  190  92 420] high freq  1190000   76
[   1 ,  192 595 600] high freq  1192500   77
[   1 ,  195  93  73] high freq  1195000   78
[   1 ,  197 592 993] high freq  1197500   79
[   1 ,  200  92 528] high freq  1200000   80
[   1 ,  200 132 585] 时隙:10-------------------------------------------------------------------------------
[   1 ,  202 599  68] high freq  1202500   81
[   1 ,  205  93 525] high freq  1205000   82
[   1 ,  207 592 795] high freq  1207500   83
[   1 ,  210  92 475] high freq  1210000   84
[   1 ,  212 595 803] high freq  1212500   85
[   1 ,  215  88 640] high freq  1215000   86
[   1 ,  217 588 390] high freq  1217500   87
[   1 ,  220  88 380] high freq  1220000   88
[   1 ,  220 111 335] 时隙:11-------------------------------------------------------------------------------
[   1 ,  222 606  58] high freq  1222500   89
[   1 ,  225  93 983] high freq  1225000   90
[   1 ,  227 592 463] high freq  1227500   91
[   1 ,  230  92 648] high freq  1230000   92
[   1 ,  232 595 445] high freq  1232500   93
[   1 ,  235  93  70] high freq  1235000   94
[   1 ,  237 592 700] high freq  1237500   95
[   1 ,  240  93 170] high freq  1240000   96
